dataset,model,version,accuracy,precision,recall,f1_score,threshold,pos_weight,loss_name
SKAB,GRU,baseline_0.5_threshold,0.6244434550311665,0.4828850855745721,0.23809523809523808,0.3189341945902301,0.5,1.8137111898312148,bce
SKAB,GRU,tuned_threshold_weighted_loss,0.3693232413178985,0.3693232413178985,1.0,0.5394244838237685,0.1,1.8137111898312148,bce
SKAB,CNN,baseline_0.5_threshold,0.6217720391807658,0.4759036144578313,0.23809523809523808,0.31739654479710727,0.5,1.8137111898312148,bce
SKAB,CNN,tuned_threshold_weighted_loss,0.416073018699911,0.38163064833005894,0.9367088607594937,0.5423137323329262,0.39,1.8137111898312148,bce
SKAB,LSTM,baseline_0.5_threshold,0.6601721794290892,0.6020539152759948,0.28270042194092826,0.38474159146841674,0.5,1.7985028072364317,bce
SKAB,LSTM,tuned_threshold_weighted_loss,0.3758495695514273,0.3758495695514273,1.0,0.5463527087106866,0.1,1.7985028072364317,bce
SKAB,GRU,baseline_0.5_threshold,0.6601721794290892,0.5958986731001207,0.2977697408077155,0.3971061093247588,0.5,1.7985028072364317,bce
SKAB,GRU,tuned_threshold_weighted_loss,0.3767557770729497,0.3761904761904762,1.0,0.5467128027681661,0.44,1.7985028072364317,bce
SKAB,CNN,baseline_0.5_threshold,0.6705935659265972,0.5745454545454546,0.47619047619047616,0.5207646671061306,0.5,1.7985028072364317,bce
SKAB,CNN,tuned_threshold_weighted_loss,0.3758495695514273,0.3758495695514273,1.0,0.5463527087106866,0.28,1.7985028072364317,bce
SKAB,LSTM,baseline_0.5_threshold,0.49569251159708416,0.26952315134761573,0.24133663366336633,0.2546523016650343,0.5,1.7808501857201815,bce
SKAB,LSTM,tuned_threshold_weighted_loss,0.4356085707974376,0.2880361173814898,0.3948019801980198,0.3330723048812321,0.47,1.7808501857201815,bce
SKAB,GRU,baseline_0.5_threshold,0.4428981665562182,0.3013157894736842,0.4251237623762376,0.3526694045174538,0.5,1.7808501857201815,bce
SKAB,GRU,tuned_threshold_weighted_loss,0.46520874751491054,0.2909090909090909,0.3465346534653465,0.3162948319683705,0.53,1.7808501857201815,bce
SKAB,CNN,baseline_0.5_threshold,0.6330903468080407,0.38095238095238093,0.04455445544554455,0.07977839335180055,0.5,1.7808501857201815,bce
SKAB,CNN,tuned_threshold_weighted_loss,0.5506958250497018,0.28931451612903225,0.1775990099009901,0.2200920245398773,0.44,1.7808501857201815,bce
