dataset,family,model,split,scenario,noise_level,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,precision_mean,precision_std,precision_min,precision_max,recall_mean,recall_std,recall_min,recall_max,f1_score_mean,f1_score_std,f1_score_min,f1_score_max,test_examples_mean,test_examples_std,test_examples_min,test_examples_max,unseen_examples_mean,unseen_examples_std,unseen_examples_min,unseen_examples_max
SKAB,AUTOMATA,AUTOMATA,fold_4,original,0.0,0.6154290763271272,0.021558114079516216,0.589585172109444,0.636604774535809,0.39456098980564586,0.047132916626954985,0.34177215189873417,0.4444444444444444,0.13679597858678502,0.07614610464316848,0.06716417910447761,0.2524752475247525,0.19298777600668177,0.07755689087367161,0.11226611226611227,0.30493273542600896,1131.6,1.3416407864998834,1130,1133,66.2,81.57634461043226,0.0,199.0
SKAB,DEEP,CNN,fold_0,noise,0.05,0.7055110639062824,0.0402101675176731,0.6439884006245817,0.7528415422331179,0.5644732709949603,0.32208260519437504,0.0,0.7683863885839737,0.3052066376002573,0.1819253737257359,0.0,0.4380475594493116,0.3922153966322731,0.22631890083553757,0.0,0.5579912315663611,4481.0,4.898979485566368,4475,4487,,,,
SKAB,DEEP,CNN,fold_0,noise,0.1,0.704976404614751,0.03940004675394028,0.6439884006245817,0.7499442834856251,0.5607528326962699,0.31958215621692876,0.0,0.766497461928934,0.30783932179896406,0.18320525677944807,0.0,0.44180225281602004,0.3934453611332687,0.2265876887879887,0.0,0.5572217837411207,4481.0,4.898979485566368,4475,4487,,,,
SKAB,DEEP,CNN,fold_0,noise,0.2,0.7006037728312098,0.03906467454558921,0.6439884006245817,0.7461555605081346,0.5427786392711765,0.311325896275657,0.0,0.7564935064935064,0.3158608032620927,0.1877735379099255,0.0,0.45807259073842305,0.3948650791024829,0.22716984787099126,0.0,0.5624279677295428,4481.0,4.898979485566368,4475,4487,,,,
SKAB,DEEP,CNN,fold_0,original,0.0,0.7060908550148625,0.04143867778234661,0.6439884006245817,0.756407399153109,0.5662946988878598,0.3240473763172178,0.0,0.7783902976846747,0.3057093897045351,0.18203921194437253,0.0,0.44180225281602004,0.39322919794610856,0.22702536472347673,0.0,0.5636726546906188,4481.0,4.898979485566368,4475,4487,,,,
SKAB,DEEP,CNN,fold_1,noise,0.05,0.6853190827905207,0.017555021159846942,0.661827116372571,0.7038521487419283,0.6724394883266276,0.18658081011341457,0.5322061191626409,1.0,0.3307188343213182,0.13349335573868068,0.12445278298936835,0.4509681449094316,0.4123064213896358,0.11984653793730601,0.22135706340378197,0.5205479452054794,4482.2,6.418722614352435,4477,4491,,,,
SKAB,DEEP,CNN,fold_1,noise,0.1,0.6844705598685155,0.017832911254325706,0.660040205494751,0.7047428189712759,0.6711129839864046,0.1873937681559508,0.5288461538461539,1.0,0.3299675827565006,0.1346467806983825,0.1207004377736085,0.4522173641474079,0.41072680409903095,0.12170202057663403,0.21540178571428573,0.5219899062725306,4482.2,6.418722614352435,4477,4491,,,,
SKAB,DEEP,CNN,fold_1,noise,0.2,0.6830872175783959,0.017518575312762175,0.656913111458566,0.7038521487419283,0.6682923412307972,0.18894248231096183,0.5233118971061094,1.0,0.3307217382267329,0.13485610278378843,0.11757348342714197,0.4522173641474079,0.4100044584295771,0.12224157500071973,0.21040850587576945,0.5212383009359252,4482.2,6.418722614352435,4477,4491,,,,
SKAB,DEEP,CNN,fold_1,original,0.0,0.6855420879481221,0.018202344822375465,0.6613803886531159,0.7038521487419283,0.6728428693252079,0.18663780207705924,0.5314009661835749,1.0,0.33071789231037874,0.13326975835750135,0.12570356472795496,0.4509681449094316,0.41259738397053924,0.11949884117516073,0.22333333333333333,0.5205479452054794,4482.2,6.418722614352435,4477,4491,,,,
SKAB,DEEP,CNN,fold_2,noise,0.05,0.6227960819234194,0.00784013650477784,0.6182101513802315,0.6366874443455031,0.4579499350958125,0.03663734534023793,0.4339622641509434,0.5225375626043406,0.13164556962025314,0.034190023039914884,0.10789632308619651,0.188667872212176,0.20361559413967617,0.04397439373924648,0.17378640776699028,0.27723649247121346,4492.0,0.0,4492,4492,,,,
SKAB,DEEP,CNN,fold_2,noise,0.1,0.6225289403383794,0.006869848260478952,0.6184327693677649,0.6346838824577026,0.4575309147809774,0.032599510799332175,0.43559718969555034,0.5152027027027027,0.13152501506931885,0.03162805566043032,0.10729355033152502,0.1838456901748041,0.2035121925025635,0.040588194795777,0.1729834791059281,0.270990670812972,4492.0,0.0,4492,4492,,,,
SKAB,DEEP,CNN,fold_2,noise,0.2,0.6214158504007123,0.006546634470423134,0.6157613535173642,0.6326803205699021,0.45268207092397644,0.0322635423325444,0.42369020501138954,0.507563025210084,0.13116335141651597,0.03083758549571217,0.10548523206751055,0.18203737191078964,0.2026447984125228,0.03958195681930418,0.170316301703163,0.26796805678793256,4492.0,0.0,4492,4492,,,,
SKAB,DEEP,CNN,fold_2,original,0.0,0.6234194122885129,0.007439572065611866,0.6193232413178985,0.6366874443455031,0.4611335776632056,0.03483006571126549,0.43914081145584727,0.5228426395939086,0.13200723327305605,0.03288289740080978,0.10729355033152502,0.18625678119349007,0.20442231965136312,0.04238428104209734,0.17281553398058253,0.27466666666666667,4492.0,0.0,4492,4492,,,,
SKAB,DEEP,CNN,fold_3,noise,0.05,0.6655759560438728,0.022188632208229725,0.6456728590847304,0.6900135562584727,0.6532417765029385,0.06616489708970265,0.5813953488372093,0.7556719022687609,0.24301424910445274,0.10137580822283021,0.11211573236889692,0.39300783604581074,0.3438544622839474,0.10786817929372614,0.1921487603305785,0.4874766355140187,4419.6,8.87693640846892,4412,4432,,,,
